Id Employee,Age,Attrition,Daily Rate,Distance From Home,Education,Employee Number,Environment Satisfaction,Gender,Hourly Rate,Job Involvement,Job Level,Job Role,Job Satisfaction,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Stock Option Level,Training Times Last Year,Work Life Balance,Years At Company,Years Since Last Promotion,Years With Currmanager,Date Birth,Remote Work,Business Travel,Education Field,Marital Status,Over Time,Monthly Income,Total Working Years
37,36.0,No,1403.0,6.0,3,"373,0",4,Male,47.0,3,1,Laboratory technician,4,20251,0,11,"3,0",3,1,4,"3,0",15,10,11,1987,Yes,Unknown,Life sciences,Married,Unknown,3210.0,16.0
38,60.0,No,1499.0,28.0,3,Unknown,3,Female,80.0,2,3,Sales executive,1,2845,4,19,"3,0",4,0,5,"4,0",18,13,11,1963,Yes,Travel Frequently,Unknown,Married,No,10266.0,22.0
39,40.0,No,580.0,5.0,4,"729,0",4,Male,48.0,2,3,Sales executive,1,23772,5,21,"4,0",3,1,2,"3,0",18,1,12,1983,No,Travel Frequently,Unknown,Married,Yes,10475.0,20.0
40,32.0,No,859.0,4.0,3,"830,0",3,Female,98.0,2,2,Manufacturing director,3,19124,1,12,"3,0",3,1,3,"3,0",14,6,8,1991,No,Travel Rarely,Unknown,Married,No,6162.0,14.0
41,41.0,No,263.0,7.0,3,Unknown,35,Male,59.0,3,1,Laboratory technician,1,3119,2,13,"3,0",3,0,3,"3,0",18,2,17,1982,Yes,Travel Rarely,Unknown,Single,Yes,4721.0,20.0
42,53.0,No,1376.0,2.0,2,"981,0",3,Male,66.0,3,4,Manager,3,13938,6,13,"3,0",3,1,3,"4,0",17,15,2,1970,No,Unknown,Medical,Divorced,No,6477.69,22.0
43,36.0,Yes,885.0,16.0,4,"1042,0",3,Female,43.0,4,1,Laboratory technician,1,8269,1,16,"3,0",3,0,1,"3,0",17,15,14,1987,Yes,Travel Rarely,Unknown,Single,Unknown,6477.69,18.0
44,46.0,No,1003.0,8.0,4,"1080,0",4,Female,74.0,2,2,Research scientist,1,21029,8,23,"4,0",1,3,2,"3,0",16,1,7,1977,No,Unknown,Life sciences,Divorced,Yes,4615.0,11.0
45,38.0,No,1321.0,1.0,4,"1995,0",4,Male,86.0,3,2,Sales executive,2,7636,0,15,"3,0",1,2,3,"3,0",15,5,8,1985,Yes,Travel Rarely,Unknown,Married,No,6477.69,16.0
46,51.0,No,798.0,1.0,4,"145,0",1,Female,30.0,2,3,Healthcare representative,1,25796,3,20,"4,0",3,0,1,"2,0",13,12,8,1972,Yes,Unknown,Unknown,Single,Unknown,6477.69,23.0
47,43.0,No,394.0,26.0,2,"158,0",3,Male,92.0,3,4,Manager,4,19494,1,12,"3,0",4,2,3,"4,0",25,4,12,1980,Yes,Unknown,Unknown,Married,Yes,16959.0,25.0
48,37.0,No,1372.0,1.0,3,"391,0",4,Female,42.0,3,1,Research scientist,4,15881,1,12,"3,0",2,0,3,"3,0",17,5,7,1986,Yes,Unknown,Life sciences,Single,No,6477.69,11.0
49,32.0,No,798.0,8.0,2,"436,0",3,Female,65.0,2,2,Sales executive,2,24624,1,11,"3,0",4,0,2,"3,0",13,11,9,1991,Yes,Travel Rarely,Technical degree,Married,Yes,6477.69,11.0
50,38.0,No,1333.0,1.0,3,Unknown,4,Female,80.0,3,3,Research director,1,16292,1,13,"3,0",2,1,3,"3,0",15,5,11,1985,No,Unknown,Unknown,Married,Unknown,6477.69,15.0
51,46.0,No,228.0,3.0,3,"1527,0",3,Female,51.0,3,4,Manager,2,11380,8,12,"3,0",4,1,2,"4,0",13,5,1,1977,Yes,Unknown,Life sciences,Unknown,No,6477.69,23.0
52,35.0,Yes,737.0,10.0,3,Unknown,4,Male,55.0,2,3,Sales executive,1,21530,9,17,"3,0",3,0,3,"3,0",13,6,0,1988,No,Travel Rarely,Medical,Married,Unknown,10306.0,15.0
53,43.0,No,823.0,6.0,3,"1866,0",1,Female,81.0,2,5,Manager,3,22539,7,13,"3,0",4,0,2,"3,0",16,6,14,1980,Yes,Unknown,Medical,Married,No,6477.69,21.0
54,56.0,No,667.0,1.0,4,"2026,0",3,Male,57.0,3,2,Healthcare representative,3,26236,1,21,"3,0",1,1,2,"2,0",13,1,9,1967,Yes,Non Travel,Life sciences,Divorced,No,6477.69,11.0
55,36.0,No,301.0,15.0,4,Unknown,4,Male,88.0,1,2,Sales executive,4,10436,1,24,"4,0",1,1,4,"2,0",15,11,11,1987,Yes,Non Travel,Marketing,Divorced,No,5406.0,11.0
56,38.0,No,573.0,6.0,3,"107,0",2,Female,79.0,1,2,Research scientist,4,15717,7,12,"3,0",4,3,3,"3,0",13,1,9,1985,Yes,Unknown,Medical,Unknown,Unknown,6477.69,17.0
57,49.0,No,798.0,7.0,4,"170,0",3,Female,96.0,3,2,Manufacturing director,1,5549,1,14,"3,0",3,0,2,"2,0",15,5,11,1974,No,Unknown,Medical,Unknown,No,6477.69,16.0
58,39.0,No,1329.0,4.0,4,Unknown,4,Female,47.0,2,2,Sales executive,3,14590,4,14,"3,0",3,1,1,"4,0",15,5,9,1984,Yes,Travel Rarely,Life sciences,Married,Unknown,5902.0,17.0
59,40.0,No,630.0,4.0,4,"215,0",3,Male,67.0,2,3,Sales executive,4,8552,7,11,"3,0",1,1,2,"2,0",12,2,11,1983,Yes,Unknown,Unknown,Married,No,10855.0,15.0
60,36.0,No,798.0,5.0,2,"304,0",4,Male,62.0,3,2,Laboratory technician,2,9945,8,16,"3,0",4,0,3,"4,0",13,3,7,1987,Yes,Unknown,Unknown,Single,No,5914.0,16.0
61,37.0,No,1063.0,25.0,5,"529,0",2,Female,72.0,3,2,Research scientist,3,23866,3,15,"3,0",1,2,2,"3,0",13,10,7,1986,No,Unknown,Unknown,Married,Yes,6477.69,15.0
62,35.0,No,1017.0,6.0,4,"691,0",2,Male,82.0,1,2,Research scientist,4,19368,1,13,"3,0",2,0,3,"3,0",17,11,8,1988,Yes,Unknown,Unknown,Unknown,Unknown,6646.0,11.0
63,33.0,No,1296.0,6.0,3,"692,0",3,Male,66.0,3,2,Healthcare representative,4,5335,3,23,"4,0",3,1,2,"1,0",13,4,7,1990,No,Travel Frequently,Life sciences,Divorced,No,6477.69,15.0
64,50.0,No,939.0,24.0,3,"1005,0",4,Male,66.0,3,4,Manufacturing director,3,4161,3,18,"3,0",4,1,2,"3,0",12,1,5,1973,No,Travel Rarely,Unknown,Married,Yes,13973.0,22.0
65,48.0,No,1355.0,4.0,4,"1024,0",3,Male,78.0,2,3,Healthcare representative,3,22245,7,14,"3,0",2,0,3,"3,0",15,4,8,1975,Yes,Travel Rarely,Unknown,Single,Unknown,6477.69,27.0
66,44.0,No,1448.0,28.0,3,"1039,0",4,Female,53.0,4,4,Sales executive,4,11737,3,18,"3,0",3,1,2,"3,0",12,11,11,1979,Yes,Travel Rarely,Unknown,Married,Unknown,13320.0,11.0
67,44.0,No,200.0,29.0,4,"1225,0",4,Male,32.0,3,2,Research scientist,4,7744,1,25,"4,0",2,0,3,"3,0",20,13,17,1979,Yes,Travel Rarely,Unknown,Single,Unknown,6477.69,11.0
68,40.0,No,1202.0,7.0,1,"1375,0",25,Female,89.0,4,2,Healthcare representative,3,13888,5,20,"4,0",2,3,0,"3,0",12,11,8,1983,Yes,Unknown,Unknown,Unknown,No,6477.69,15.0
69,34.0,No,404.0,2.0,4,Unknown,3,Female,98.0,3,2,Healthcare representative,4,6163,1,11,"3,0",4,0,2,"4,0",14,4,11,1989,Yes,Travel Rarely,Unknown,Single,Unknown,6687.0,14.0
70,35.0,No,208.0,8.0,4,Unknown,3,Female,52.0,3,2,Healthcare representative,3,12250,1,12,"3,0",4,1,5,"3,0",14,2,9,1988,Yes,Non Travel,Unknown,Unknown,Unknown,6477.69,11.0
71,50.0,No,813.0,17.0,5,Unknown,4,Female,50.0,2,3,Research director,1,21981,5,15,"3,0",3,3,3,"3,0",14,1,11,1973,No,Unknown,Life sciences,Unknown,No,6477.69,11.0
72,49.0,No,465.0,6.0,1,"1661,0",3,Female,41.0,2,4,Healthcare representative,3,11652,2,19,"3,0",2,1,3,"3,0",15,2,12,1974,Yes,Unknown,Life sciences,Unknown,Unknown,6477.69,11.0
73,38.0,No,1189.0,1.0,3,"1668,0",4,Male,90.0,3,2,Research scientist,4,9867,7,15,"3,0",4,2,4,"3,0",13,2,9,1985,Yes,Travel Frequently,Life sciences,Unknown,No,4735.0,19.0
74,33.0,No,798.0,21.0,3,"1698,0",2,Male,79.0,4,1,Laboratory technician,2,13637,1,18,"3,0",4,3,6,"3,0",14,2,13,1990,Yes,Unknown,Unknown,Unknown,No,6477.69,14.0
75,47.0,No,1001.0,4.0,3,Unknown,3,Female,92.0,2,3,Manufacturing director,2,19271,8,12,"3,0",3,1,4,"3,0",22,14,10,1976,Yes,Travel Rarely,Life sciences,Divorced,Yes,6477.69,11.0
76,38.0,No,1394.0,8.0,3,"1937,0",4,Female,58.0,2,2,Research scientist,2,18115,1,16,"3,0",3,1,3,"3,0",20,0,7,1985,No,Unknown,Unknown,Divorced,Unknown,6477.69,20.0
77,37.0,No,161.0,10.0,3,"2017,0",3,Female,42.0,4,3,Research director,4,15471,1,25,"4,0",1,1,2,"3,0",16,6,8,1986,Yes,Travel Rarely,Life sciences,Unknown,Yes,6477.69,16.0
78,30.0,No,288.0,2.0,3,"117,0",3,Male,99.0,2,2,Healthcare representative,4,15830,1,19,"3,0",1,3,3,"3,0",11,10,8,1993,Yes,Unknown,Unknown,Married,No,6477.69,11.0
79,58.0,No,682.0,7.0,4,"131,0",4,Male,37.0,3,4,Sales executive,3,24409,0,13,"3,0",3,0,1,"2,0",37,1,8,1965,Yes,Travel Rarely,Unknown,Single,Unknown,13872.0,38.0
80,34.0,No,1354.0,5.0,3,"153,0",3,Female,45.0,2,3,Manager,1,5615,2,12,"3,0",4,0,6,"3,0",11,5,8,1989,No,Travel Rarely,Unknown,Single,Unknown,6477.69,14.0
81,58.0,Yes,147.0,23.0,4,Unknown,4,Female,94.0,3,3,Healthcare representative,4,3465,1,12,"3,0",4,1,3,"2,0",40,15,6,1965,Yes,Travel Rarely,Medical,Married,Unknown,6477.69,40.0
82,38.0,No,119.0,3.0,3,"307,0",1,Male,76.0,3,3,Sales executive,3,9647,0,12,"3,0",3,2,6,"2,0",16,5,13,1985,Yes,Unknown,Life sciences,Divorced,Unknown,6477.69,11.0
83,29.0,No,1413.0,1.0,1,Unknown,2,Female,42.0,3,3,Sales executive,4,6599,1,14,"3,0",4,1,5,"3,0",11,4,1,1994,Yes,Travel Frequently,Unknown,Married,Unknown,6477.69,11.0
84,55.0,No,452.0,1.0,3,"374,0",4,Male,81.0,3,5,Manager,1,18938,0,14,"3,0",3,0,2,"3,0",36,4,13,1968,Yes,Travel Rarely,Medical,Single,Unknown,19045.0,37.0
85,41.0,No,334.0,7.0,4,Unknown,4,Male,88.0,3,4,Manager,2,15896,1,19,"3,0",2,0,2,"3,0",22,0,4,1982,Yes,Unknown,Unknown,Unknown,Unknown,16015.0,11.0
86,39.0,No,1132.0,1.0,3,Unknown,3,Male,48.0,4,3,Healthcare representative,4,10942,0,17,"3,0",1,3,5,"2,0",18,3,7,1984,No,Travel Rarely,Unknown,Unknown,No,9613.0,19.0
87,38.0,No,798.0,15.0,2,Unknown,3,Male,92.0,2,3,Research director,4,15682,0,14,"3,0",2,1,3,"3,0",11,2,9,1985,Yes,Unknown,Life sciences,Unknown,Unknown,11510.0,11.0
88,43.0,No,982.0,12.0,3,Unknown,1,Male,59.0,2,4,Research director,2,4345,1,11,"3,0",3,1,3,"3,0",25,3,9,1980,Yes,Unknown,Unknown,Unknown,No,6477.69,11.0
89,31.0,No,480.0,7.0,2,"524,0",2,Female,31.0,3,2,Manufacturing director,1,4156,1,12,"3,0",2,1,5,"1,0",13,3,12,1992,Yes,Unknown,Unknown,Married,No,4306.0,13.0
90,50.0,No,1099.0,7.0,4,"569,0",27,Male,88.0,2,4,Manager,3,9314,0,15,"3,0",2,1,2,"3,0",27,15,7,1973,Yes,Travel Rarely,Life sciences,Married,No,17046.0,28.0
91,35.0,No,672.0,25.0,3,"899,0",4,Male,78.0,2,3,Manufacturing director,2,9129,3,16,"3,0",1,0,2,"3,0",13,4,8,1988,No,Unknown,Technical degree,Married,No,6477.69,11.0
92,47.0,No,1379.0,16.0,4,Unknown,3,Male,64.0,4,2,Manufacturing director,3,6759,1,19,"3,0",3,0,3,"3,0",19,2,7,1976,Yes,Unknown,Unknown,Unknown,Yes,5067.0,20.0
93,35.0,No,583.0,25.0,4,"1014,0",3,Female,57.0,3,3,Healthcare representative,3,6975,1,11,"3,0",3,1,3,"2,0",16,10,1,1988,Yes,Unknown,Unknown,Divorced,Yes,6477.69,11.0
94,40.0,No,1492.0,20.0,4,Unknown,1,Male,61.0,3,3,Healthcare representative,4,26542,4,20,"4,0",4,1,6,"3,0",11,11,1,1983,Yes,Travel Rarely,Unknown,Married,Unknown,6477.69,14.0
95,45.0,No,1050.0,9.0,4,"1117,0",2,Female,65.0,2,2,Sales executive,3,17970,1,13,"3,0",4,1,2,"3,0",15,4,12,1978,No,Unknown,Life sciences,Married,Unknown,6477.69,15.0
96,33.0,No,117.0,9.0,3,"1238,0",1,Male,60.0,3,1,Research scientist,4,6311,0,13,"3,0",2,1,5,"3,0",14,4,10,1990,No,Unknown,Medical,Married,Unknown,6477.69,15.0
97,36.0,No,469.0,3.0,3,Unknown,3,Male,46.0,3,1,Research scientist,2,9256,1,12,"3,0",3,0,2,"2,0",11,0,7,1987,No,Travel Frequently,Unknown,Married,No,3692.0,12.0
98,45.0,Yes,798.0,7.0,3,"1277,0",1,Female,94.0,1,5,Manager,2,2493,2,16,"3,0",1,0,2,"3,0",24,1,11,1978,Yes,Unknown,Marketing,Unknown,Yes,6477.69,26.0
99,51.0,No,237.0,7.0,3,Unknown,27,Male,83.0,3,5,Manager,2,19196,4,24,"3,0",1,1,5,"2,0",29,11,10,1972,No,Travel Frequently,Unknown,Unknown,Yes,19847.0,11.0
100,34.0,No,1440.0,7.0,2,"1541,0",2,Male,55.0,3,1,Sales representative,3,4944,0,25,"4,0",2,1,4,"3,0",11,5,7,1989,No,Travel Rarely,Technical degree,Unknown,Yes,2308.0,12.0
101,43.0,No,1291.0,15.0,2,"1666,0",3,Male,65.0,2,4,Research director,3,3525,1,24,"4,0",1,1,3,"3,0",14,6,11,1980,Yes,Travel Rarely,Unknown,Unknown,No,6477.69,11.0
102,34.0,No,1157.0,5.0,2,"1696,0",2,Male,57.0,2,2,Laboratory technician,4,11912,1,14,"3,0",3,1,3,"3,0",15,4,13,1989,No,Unknown,Medical,Unknown,No,6477.69,11.0
103,38.0,No,1336.0,2.0,3,"1805,0",1,Male,100.0,3,1,Human resources,2,7129,5,13,"3,0",4,3,3,"3,0",11,3,8,1985,Yes,Unknown,Unknown,Divorced,No,6477.69,13.0
104,48.0,No,1224.0,10.0,3,Unknown,4,Male,91.0,2,5,Research director,2,13583,4,12,"3,0",4,0,3,"3,0",22,12,9,1975,No,Unknown,Unknown,Unknown,No,6477.69,29.0
105,34.0,No,735.0,22.0,4,"1932,0",3,Male,86.0,2,2,Research scientist,4,26496,1,15,"3,0",2,0,3,"3,0",15,6,11,1989,No,Unknown,Other,Married,Yes,5747.0,16.0
106,32.0,No,798.0,7.0,4,"2016,0",31,Female,48.0,3,3,Sales executive,4,24032,1,19,"3,0",3,2,3,"3,0",14,5,7,1991,Yes,Travel Rarely,Unknown,Unknown,No,10422.0,14.0
107,29.0,No,1389.0,21.0,4,"20,0",2,Female,51.0,4,3,Manufacturing director,1,10195,1,11,"3,0",3,1,1,"3,0",10,8,8,1994,No,Travel Rarely,Life sciences,Divorced,No,6477.69,10.0
108,46.0,No,638.0,1.0,3,Unknown,3,Male,40.0,2,3,Healthcare representative,1,3142,2,13,"3,0",3,1,5,"2,0",10,9,5,1977,No,Unknown,Medical,Married,Yes,6477.69,21.0
109,30.0,No,1240.0,9.0,3,"184,0",3,Male,48.0,3,2,Human resources,4,13982,0,19,"3,0",4,0,2,"1,0",11,4,7,1993,No,Unknown,Unknown,Married,Yes,6347.0,11.0
110,45.0,No,194.0,9.0,3,"206,0",2,Male,60.0,3,2,Laboratory technician,2,10901,8,18,"3,0",3,1,2,"3,0",17,0,15,1978,Yes,Unknown,Life sciences,Unknown,No,2348.0,20.0
111,30.0,No,1339.0,5.0,3,"228,0",2,Female,41.0,3,3,Sales executive,4,8053,2,12,"3,0",3,1,2,"3,0",10,7,4,1993,Yes,Travel Rarely,Unknown,Unknown,No,6477.69,11.0
112,30.0,No,111.0,9.0,3,"239,0",3,Male,66.0,3,2,Laboratory technician,1,11012,1,11,"3,0",3,2,4,"3,0",12,6,10,1993,Yes,Unknown,Unknown,Unknown,No,3072.0,12.0
113,34.0,No,798.0,7.0,1,"256,0",4,Male,45.0,2,2,Manufacturing director,3,14074,1,17,"3,0",3,0,2,"2,0",10,1,9,1989,No,Travel Frequently,Unknown,Married,Unknown,6477.69,10.0
114,51.0,No,1469.0,8.0,4,Unknown,2,Male,81.0,2,3,Research director,2,15736,5,16,"3,0",4,2,5,"1,0",10,4,7,1972,No,Travel Rarely,Life sciences,Married,No,12490.0,16.0
115,34.0,No,470.0,7.0,4,"339,0",39,Male,84.0,2,2,Manufacturing director,1,23687,6,13,"3,0",2,1,3,"3,0",11,5,9,1989,Yes,Unknown,Life sciences,Unknown,Unknown,6477.69,13.0
116,35.0,No,1232.0,16.0,3,"406,0",3,Male,96.0,3,3,Sales executive,2,5100,0,15,"3,0",3,2,3,"2,0",11,6,9,1988,Yes,Travel Rarely,Unknown,Married,Unknown,8020.0,12.0
117,45.0,No,1249.0,7.0,3,Unknown,1,Male,97.0,3,3,Laboratory technician,1,20308,1,18,"3,0",1,1,2,"3,0",24,9,11,1978,Yes,Travel Frequently,Life sciences,Unknown,Unknown,6477.69,24.0
118,39.0,No,117.0,10.0,1,"429,0",3,Male,99.0,3,4,Manager,1,5355,1,14,"3,0",4,0,3,"3,0",21,11,10,1984,Yes,Unknown,Unknown,Married,Unknown,17068.0,21.0
119,31.0,No,798.0,7.0,2,Unknown,3,Female,48.0,2,3,Manufacturing director,3,14034,1,24,"4,0",1,1,2,"3,0",10,8,9,1992,No,Unknown,Unknown,Married,No,8943.0,10.0
120,39.0,No,672.0,7.0,2,"444,0",3,Male,54.0,2,5,Manager,4,21141,1,15,"3,0",1,1,2,"3,0",21,13,3,1984,Yes,Unknown,Unknown,Married,Unknown,19272.0,11.0
121,45.0,No,549.0,8.0,4,"452,0",4,Male,75.0,3,2,Research scientist,4,9278,9,14,"3,0",1,2,3,"3,0",10,9,8,1978,Yes,Travel Rarely,Unknown,Unknown,No,6477.69,12.0
122,30.0,No,570.0,5.0,3,"456,0",4,Female,30.0,2,2,Sales executive,3,5431,1,13,"3,0",3,3,2,"3,0",10,1,2,1993,Yes,Travel Rarely,Marketing,Unknown,Unknown,6477.69,10.0
123,31.0,No,1232.0,7.0,4,Unknown,3,Female,39.0,3,3,Manufacturing director,4,25713,1,14,"3,0",3,0,2,"2,0",11,4,10,1992,No,Unknown,Medical,Unknown,Unknown,6477.69,11.0
124,36.0,No,541.0,3.0,4,"481,0",1,Male,48.0,2,3,Sales executive,4,7246,4,11,"3,0",1,1,2,"3,0",13,1,12,1987,Yes,Unknown,Medical,Married,No,6477.69,16.0
